########,上邊界(70.0),區間檢測,結果,########
,(1) 70.0±0.5 [69.5~70.5],(2) 70.0±1.0 [69.0~71.0],(3) 70.0±1.5 [68.5~71.5],(4) 70.0±2.0 [68.0~72.0],(5) 70.0±2.5 [67.5~72.5],(6) 70.0±3.0 [67.0~73.0],(7) 70.0±3.5 [66.5~73.5],(8) 70.0±4.0 [66.0~74.0],(9) 70.0±0.0 [70.0~1069.0]
MAE,[61.47421554],[61.23901982],[61.24025257],[60.87209803],[60.48070727],[60.1923786],[59.52951884],[58.80950446],[61.99372049],
RMSE,[61.47479994],[61.24253264],[61.24472358],[60.87893186],[60.48819164],[60.20111522],[59.53935174],[58.81884372],[61.99644542],
MAPE,[87.73190633],[87.75481648],[87.81042583],[87.90517452],[87.92690271],[87.91789671],[87.93202537],[87.82629445],[87.67705043],
ME,61.76663248196533,62.27385677081641,62.60272145970801,62.905665852067386,62.905665852067386,62.905665852067386,62.905665852067386,62.905665852067386,62.905665852067386,

########,下邊界(60.0),區間檢測,結果,########
,(1) 60.0±0.5 [59.5~60.5],(2) 60.0±1.0 [59.0~61.0],(3) 60.0±1.5 [58.5~61.5],(4) 60.0±2.0 [58.0~62.0],(5) 60.0±2.5 [57.5~62.5],(6) 60.0±3.0 [57.0~63.0],(7) 60.0±3.5 [56.5~63.5],(8) 60.0±4.0 [56.0~64.0],(9) 60.0±0.0 [-939.0~60.0]
MAE,0.0,0.0,0.0,[53.71162111],[53.92547492],[54.41878913],[54.73925769],[55.16072735],0.0,
RMSE,0.0,0.0,0.0,[53.7116781],[53.92636084],[54.42050318],[54.74136573],[55.16349759],0.0,
MAPE,0.0,0.0,0.0,[87.05230355],[87.08015015],[86.99181286],[87.0056546],[87.07278365],0.0,
ME,0.0,0.0,0.0,53.789861759530766,54.353182529073734,54.98507186662524,55.37476650465625,55.97334359856982,0.0,
